FIPS code,State,Jurisdiction,Equipment Type,Make,Model,VVPAT,Polling Place,Accessible Use,Early Voting,Absentee Ballots
4823700000,Texas,Jack County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4823900000,Texas,Jackson County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes
4823900000,Texas,Jackson County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4823900000,Texas,Jackson County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No
4824100000,Texas,Jasper County,Batch-Fed Optical Scanner,Election Systems & Software,DS850,N/A,Yes,No,No,Yes
4824100000,Texas,Jasper County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4824100000,Texas,Jasper County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4824100000,Texas,Jasper County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,No,No,Yes,No
4824300000,Texas,Jeff Davis County,Hand-Fed Optical Scanner,Election Systems & Software,Model 100,N/A,Yes,No,Yes,Yes
4824300000,Texas,Jeff Davis County,Ballot Marking Device,Election Systems & Software,AutoMARK,N/A,Yes,Yes,Yes,No
4824300000,Texas,Jeff Davis County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4824500000,Texas,Jefferson County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4824500000,Texas,Jefferson County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,No,Yes
4824500000,Texas,Jefferson County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4824700000,Texas,Jim Hogg County,Ballot Marking Device,Hart InterCivic,Verity Touch Writer,N/A,Yes,Yes,Yes,No
4824700000,Texas,Jim Hogg County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4824700000,Texas,Jim Hogg County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4824900000,Texas,Jim Wells County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,No,No,No,Yes
4824900000,Texas,Jim Wells County,DRE-Touchscreen,Hart InterCivic,Verity Touch,No,Yes,Yes,Yes,No
4824900000,Texas,Jim Wells County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4825100000,Texas,Johnson County,Batch-Fed Optical Scanner,Election Systems & Software,Model 650,N/A,Yes,No,Yes,Yes
4825100000,Texas,Johnson County,Ballot Marking Device,Election Systems & Software,AutoMARK,N/A,Yes,Yes,Yes,No
4825100000,Texas,Johnson County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No
4825300000,Texas,Jones County,DRE-Touchscreen,Election Systems & Software,iVotronic,No,Yes,Yes,Yes,No
4825300000,Texas,Jones County,Batch-Fed Optical Scanner,Election Systems & Software,Model 650,N/A,No,No,No,Yes
4825300000,Texas,Jones County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4825500000,Texas,Karnes County,DRE-Dial,Hart InterCivic,eSlate,No,Yes,Yes,Yes,No
4825500000,Texas,Karnes County,Hand-Fed Optical Scanner,Hart InterCivic,eScan,N/A,No,No,No,Yes
4825500000,Texas,Karnes County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4825700000,Texas,Kaufman County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes
4825700000,Texas,Kaufman County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4825700000,Texas,Kaufman County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No
